matrix_type,n,sparsity,symmetry,condition_number,diagonal_dominance,size,fro_norm,eig_spread,best_method,jacobi_success,jacobi_iterations,jacobi_time,jacobi_relative_error,gauss_seidel_success,gauss_seidel_iterations,gauss_seidel_time,gauss_seidel_relative_error,gradiente_conjugado_success,gradiente_conjugado_iterations,gradiente_conjugado_time,gradiente_conjugado_relative_error
generate_diagonal_dominant,11,0.0,0.8338541678975596,2.7674156146543267,9.763793023986821,11,49.59311223538581,7.60303395884117,jacobi,True,7,0.003112316131591797,1.3017120967460396e-07,True,5,0.039594173431396484,2.0788217255963525e-07,False,1000,0.0,
generate_diagonal_dominant,14,0.0,0.848816525240913,3.072183151257053,13.227382081878472,14,75.502791640959,11.835899580805073,jacobi,True,7,0.004714250564575195,1.4666851394242242e-07,True,5,0.05164313316345215,2.0543619375165696e-07,False,1000,0.0,
generate_diagonal_dominant,19,0.0,0.8809366774956807,3.312066350507722,18.681824699083332,19,123.6616846603644,15.329194676590586,jacobi,True,7,0.0025348663330078125,1.348257686311688e-07,True,5,0.07698988914489746,7.711256582537355e-08,False,1000,0.0,
generate_diagonal_dominant,11,0.0,0.8177063112896439,2.719875643092047,9.793867612176,11,49.52786327838111,7.24607329103873,jacobi,True,7,0.0049648284912109375,7.370298489424601e-08,True,5,0.03296184539794922,2.7687981194737e-07,False,1000,0.0,
generate_diagonal_dominant,15,0.0,0.8580715532239938,2.999200559217138,13.964100010971745,15,82.15016040212728,10.438282375147429,jacobi,True,7,0.0019130706787109375,1.4870976024167662e-07,True,5,0.04885458946228027,1.7603761731230917e-07,False,1000,0.0,
generate_diagonal_dominant,12,0.0,0.590016892808559,2.377878428330229,1.1265387433651892,12,24.56535851663252,2.691177179904039,jacobi,True,12,0.0047261714935302734,3.445818381449994e-07,True,8,0.07329487800598145,3.1769277072343546e-07,False,1000,0.0,
generate_diagonal_dominant,13,0.0,0.633015584301281,2.5215381841776936,1.2992897609251501,13,29.62375835529941,5.141084978411491,jacobi,True,12,0.004693508148193359,3.5600134823913633e-07,True,7,0.0739603042602539,3.1720492573048013e-07,False,1000,0.0,
generate_diagonal_dominant,16,0.0,0.6769910364692677,2.5881854286785395,1.5154927800078069,16,37.74955792979827,4.751278345130047,jacobi,True,11,0.004379987716674805,3.643737644027092e-07,True,7,0.09250211715698242,5.443281494533189e-07,False,1000,0.0,
generate_diagonal_dominant,10,0.0,0.6046036478835813,2.2599867926261874,0.9515822494751051,10,19.435741098201436,4.7103105898425035,jacobi,True,11,0.003082275390625,7.337248144628502e-07,True,7,0.07184815406799316,4.920419395539296e-07,False,1000,0.0,
generate_diagonal_dominant,15,0.0,0.6756937006529247,2.571816426022542,1.5025500031235126,15,36.228256724902415,4.931723660553342,jacobi,True,10,0.0020668506622314453,7.065770976596854e-07,True,7,0.08768463134765625,5.198240099156505e-07,False,1000,0.0,
generate_symmetric_positive_definite,11,0.0,0.9999999999999999,3.7087456179891998,-5.340722323525821,11,98.9638823005646,49.00000000000006,gradiente_conjugado,False,1000,0.4018287658691406,2868.714771705279,True,110,0.5664925575256348,8.820965860523232e-07,True,11,0.004884481430053711,2.6415816239758053e-16
generate_symmetric_positive_definite,12,0.0,0.9999999999999999,3.757695376707352,-15.02663212216612,12,103.1530196094397,49.00000000000009,gradiente_conjugado,False,1000,0.4044225215911865,1.6981131747467966e+25,True,149,0.8419432640075684,9.31222210752231e-07,True,12,0.0064165592193603516,8.781714175717246e-16
generate_symmetric_positive_definite,18,0.0,0.9999999999999999,3.864540408061976,-21.103214833703877,18,125.41812421796514,48.99999999999998,gradiente_conjugado,True,342,0.18346643447875977,9.90533232051819e-07,True,171,1.5707566738128662,9.792465393638504e-07,True,18,0.009429454803466797,3.0676184870294597e-16
generate_symmetric_positive_definite,13,0.0,0.9999999999999999,3.799552748339861,-11.269599467854269,13,107.18137535142112,49.00000000000006,gradiente_conjugado,True,288,0.07913088798522949,9.814134194130841e-07,True,145,0.9052977561950684,9.119380599657197e-07,True,13,0.008104085922241211,3.11494624069666e-16
generate_symmetric_positive_definite,13,0.0,0.9999999999999999,3.807098324791746,-13.754723399419222,13,107.18137535142111,48.99999999999995,gradiente_conjugado,False,1000,0.2750401496887207,1911336815323065.8,True,99,0.6230781078338623,9.611430434763728e-07,True,13,0.00603032112121582,5.482489143852628e-16
generate_random_matrix,10,0.0,-0.512946855414663,2.9224492936806317,-18.347988673155793,10,27.368672858729212,6.399909319402419,none,False,1000,0.4905984401702881,,False,1000,4.488101243972778,,False,1000,0.0,
generate_random_matrix,10,0.0,-0.2111586422245204,3.0302084861427088,-20.126207200425945,10,29.391688379390892,5.8484433518346055,none,False,1000,0.48429131507873535,,False,1000,4.570560455322266,,False,1000,0.0,
generate_random_matrix,12,0.0,-0.3001370670050558,3.164602183856768,-24.356068950745428,12,34.55708813812176,7.3236468122035205,none,False,1000,0.45009803771972656,,False,1000,5.54650616645813,,False,1000,0.0,
generate_random_matrix,12,0.0,-0.3135305374284383,3.1830983919710163,-22.080583042013615,12,31.819113506850094,7.9803298189888485,none,False,1000,0.48032665252685547,,False,1000,5.556911945343018,,False,1000,0.0,
generate_sparse_matrix,17,0.7820069204152249,1.0,2.7903395440610805,4.562464571461702,17,40.12418693215772,17.838959976217108,jacobi,True,14,0.002843618392944336,7.490078387495637e-07,True,8,0.07100796699523926,3.8426211059573416e-07,True,15,0.008708715438842773,1.877527701807939e-07
generate_sparse_matrix,11,0.7603305785123967,1.0,2.749857925289198,3.749842041420967,11,26.60641957626397,16.591230139847312,jacobi,True,15,0.004508018493652344,3.0522680182026277e-07,True,8,0.045568227767944336,5.329591579997028e-07,True,10,0.0071604251861572266,1.7910930113517754e-15
generate_sparse_matrix,11,0.6942148760330579,1.0,2.9001842626924814,3.949321172753308,11,28.99092142449073,20.022230735339466,jacobi,True,13,0.004079103469848633,7.85588770556419e-07,True,7,0.03711676597595215,5.843411186975808e-07,True,11,0.004414081573486328,2.9738590039739335e-13
