matrix_type,n,sparsity,symmetry,condition_number_log,diagonal_dominance_ratio,diagonal_dominance_positive,frobenius_norm,trace_abs,positive_eigenvalues_ratio,has_negative_eigenvalues,diag_dominance_fro,best_method,weight_jacobi,weight_gauss_seidel,weight_gradiente_conjugado,all_methods_failed,jacobi_success,jacobi_iterations,jacobi_time,jacobi_relative_error,gauss_seidel_success,gauss_seidel_iterations,gauss_seidel_time,gauss_seidel_relative_error,gradiente_conjugado_success,gradiente_conjugado_iterations,gradiente_conjugado_time,gradiente_conjugado_relative_error
generate_random_matrix,16.0,0.0,0.0,2.116725877604164,-34.492325728904724,0.0,46.22223877600483,17.586430741833652,0.4375,1.0,0.2700934374493428,nenhum,0.0,0.0,0.0,True,False,1000,0.013353824615478516,,False,1000,0.08362865447998047,,False,1000,0.0,
generate_diagonal_dominant,16.0,0.0,0.0,1.5553954773296885,-6.703132423292715,0.0,9.415606269009482,2.932339691631087,0.4375,1.0,0.3362276872470419,nenhum,0.0,0.0,0.0,True,False,1000,0.015141010284423828,,False,1000,0.07931137084960938,,False,1000,0.0,
generate_diagonal_dominant,16.0,0.0,0.0,1.5553954773296885,-6.703132423292715,0.0,9.415606269009482,2.932339691631087,0.4375,1.0,0.3362276872470419,nenhum,0.0,0.0,0.0,True,False,1000,0.019927501678466797,,False,1000,0.07779741287231445,,False,1000,0.0,
generate_random_matrix,16.0,0.0,0.0,2.116725877604164,-34.492325728904724,0.0,46.22223877600483,17.586430741833652,0.4375,1.0,0.2700934374493428,nenhum,0.0,0.0,0.0,True,False,1000,0.017763376235961914,,False,1000,0.095703125,,False,1000,0.0,
generate_random_matrix,16.0,0.0,0.0,2.116725877604164,-34.492325728904724,0.0,46.22223877600483,17.586430741833652,0.4375,1.0,0.2700934374493428,nenhum,0.0,0.0,0.0,True,False,1000,0.013855218887329102,,False,1000,0.10133504867553711,,False,1000,0.0,
generate_random_matrix,16.0,0.0,0.0,2.116725877604164,-34.492325728904724,0.0,46.22223877600483,17.586430741833652,0.4375,1.0,0.2700934374493428,nenhum,0.0,0.0,0.0,True,False,1000,0.012255668640136719,,False,1000,0.10208702087402344,,False,1000,0.0,
generate_random_matrix,16.0,0.0,0.0,2.116725877604164,-34.492325728904724,0.0,46.22223877600483,17.586430741833652,0.4375,1.0,0.2700934374493428,nenhum,0.0,0.0,0.0,True,False,1000,0.015540361404418945,,False,1000,0.10497498512268066,,False,1000,0.0,
generate_diagonal_dominant,16.0,0.0,0.0,1.5553954773296885,-6.703132423292715,0.0,9.415606269009482,2.932339691631087,0.4375,1.0,0.3362276872470419,nenhum,0.0,0.0,0.0,True,False,1000,0.02268695831298828,,False,1000,0.11956262588500977,,False,1000,0.0,
generate_diagonal_dominant,16.0,0.0,0.3136896710504893,1.231419122473528,-3.7454026363582678,0.0,17.657459918692435,11.198228937383652,0.4375,1.0,1.693130421474252,jacobi,0.7595846020326772,0.24041539796732278,0.0,False,True,25,0.0003464221954345703,8.437623403171242e-07,True,15,0.0011897087097167969,2.8578676755752624e-07,False,1000,0.0,
generate_diagonal_dominant,16.0,0.0,0.3423998883999746,0.9174717586822334,-3.8540008622277577,0.0,18.082059955958876,26.08383285054998,0.3125,1.0,1.721411557759653,jacobi,0.7275043557112796,0.2724956442887204,0.0,False,True,41,0.0005128383636474609,7.835989900374986e-07,True,21,0.0015954971313476562,5.344496955185283e-07,False,1000,0.0,
generate_diagonal_dominant,16.0,0.0,0.3164847231352298,2.4880318238056183,-3.8323836959758326,0.0,17.98269824019245,0.5963865045492649,0.5,1.0,1.6650343160474934,jacobi,0.7837134896430451,0.2162865103569549,0.0,False,True,30,0.00036787986755371094,6.507206991198456e-07,True,19,0.0014562606811523438,5.685412659020867e-07,False,1000,0.0,
generate_diagonal_dominant,16.0,0.0,0.3102023852479431,0.8223050991640369,-3.802572600557057,0.0,17.816507403181568,30.01466951369271,0.75,1.0,1.689833942799236,jacobi,0.7400864984277215,0.2599135015722785,0.0,False,True,27,0.0003440380096435547,6.987105090912083e-07,True,13,0.0011010169982910156,5.173486267955687e-07,False,1000,0.0,
generate_diagonal_dominant,16.0,0.0,0.21913060937858297,1.2609289404525015,-3.734968826995807,0.0,17.54615513049647,9.288411694294245,0.5625,1.0,1.6832431170084403,jacobi,0.8575611160486677,0.1424388839513324,0.0,False,True,27,0.0003643035888671875,6.009269707383754e-07,True,16,0.0024013519287109375,3.1766559183836754e-07,False,1000,0.0,
generate_diagonal_dominant,16.0,0.0,0.4636953148853926,2.8892196701756054,-1.4807297421584598,0.0,25.543712204888646,0.348992637370074,0.5,1.0,2.713463136088578,jacobi,0.7982117654029603,0.2017882345970396,0.0,False,True,15,0.00023555755615234375,8.027531962360143e-07,True,10,0.0009741783142089844,5.338443584149771e-07,False,1000,0.0,
generate_diagonal_dominant,16.0,0.0,0.49599689462771657,1.2274494820004849,-1.4427150644600415,0.0,24.838157229653895,14.805405933459628,0.4375,1.0,2.693867393625417,jacobi,0.7204929542330352,0.2795070457669649,0.0,False,True,17,0.0002455711364746094,5.308741460066099e-07,True,9,0.0006794929504394531,1.9915652654660025e-07,False,1000,0.0,
generate_diagonal_dominant,16.0,0.0,0.49058321430631746,1.049744312389446,-1.4877075727143336,0.0,25.67290686340851,24.512248221235726,0.375,1.0,2.6611752118835845,jacobi,0.8036519952832631,0.19634800471673688,0.0,False,True,13,0.00020956993103027344,5.385516781824747e-07,True,10,0.000881195068359375,4.1157922042224223e-07,False,1000,0.0,
generate_diagonal_dominant,16.0,0.0,0.49896454844960714,0.8329258587870513,-1.322610998980389,0.0,22.884237590588192,32.7913309019885,0.3125,1.0,2.6664761733678177,jacobi,0.7558964637546793,0.2441035362453207,0.0,False,True,15,0.00021505355834960938,4.185697017789799e-07,True,9,0.0007026195526123047,7.268015266205828e-07,False,1000,0.0,
generate_diagonal_dominant,16.0,0.0,0.5531084305677854,1.3091500260618327,-1.4853131144296057,0.0,25.601723855877662,11.731237177362406,0.4375,1.0,2.660660355445065,jacobi,0.7899575102302985,0.2100424897697015,0.0,False,True,14,0.00018906593322753906,5.472291344275901e-07,True,10,0.0007369518280029297,4.782579714588609e-07,False,1000,0.0,
generate_diagonal_dominant,16.0,0.0,0.5980500706628404,1.3032319341178398,0.0,0.0,32.03962545265122,18.119726870185605,0.5625,1.0,3.4052805327028137,jacobi,0.8078548662923096,0.19214513370769035,0.0,False,True,12,0.00020051002502441406,3.4404717703364716e-07,True,8,0.0008742809295654297,6.017638649941088e-07,False,1000,0.0,
generate_diagonal_dominant,16.0,0.0,0.6140601306009666,1.0987866745051091,3.3306690738754696e-16,0.0,32.48619507569073,25.80845552937494,0.625,1.0,3.41495766702393,jacobi,0.9148572818990907,0.08514271810090936,0.0,False,True,12,0.0003829002380371094,6.056575765949225e-07,True,8,0.0042667388916015625,3.5417446471267943e-07,False,1000,0.0,
generate_diagonal_dominant,16.0,0.0,0.6020080455443677,1.3684113451592284,-1.6653345369377348e-16,0.0,32.48204014295352,16.384211746529978,0.4375,1.0,3.446833271478628,jacobi,0.773170720947512,0.22682927905248793,0.0,False,True,11,0.00017380714416503906,6.949683158641869e-07,True,8,0.0006089210510253906,4.953513643609992e-07,False,1000,0.0,
generate_diagonal_dominant,16.0,0.0,0.5760188480187154,0.9009559032879983,-1.1102230246251565e-16,0.0,29.95518342922166,38.97113040044297,0.3125,1.0,3.3425616007761,jacobi,0.7558372239535033,0.24416277604649664,0.0,False,True,12,0.0001926422119140625,5.95341374420825e-07,True,8,0.0006184577941894531,1.7749318409717116e-07,False,1000,0.0,
generate_diagonal_dominant,16.0,0.0,0.0,1.6827651201244156,-6.741724745444883,0.0,9.480499292294772,2.2396457874767304,0.5,1.0,0.3386260842948504,nenhum,0.0,0.0,0.0,True,False,1000,0.011520147323608398,,False,1000,0.08523082733154297,,False,1000,0.0,
generate_diagonal_dominant,16.0,0.0,0.6033500014484862,1.9138029790965527,3.885780586188048e-16,0.0,29.740076948098565,3.355478675744269,0.5,1.0,3.387439516671651,jacobi,0.7535887101081652,0.2464112898918348,0.0,False,True,12,0.00020003318786621094,7.010142435932204e-07,True,8,0.0006344318389892578,1.8404654209213917e-07,False,1000,0.0,
generate_diagonal_dominant,16.0,0.0,0.6920156748062214,0.8764279968845649,1.5416003448911026,1.0,38.608343582147505,62.601198841319956,0.3125,1.0,4.131387738623166,jacobi,0.7498673118243186,0.2501326881756813,0.0,False,True,11,0.00017762184143066406,6.63974520814861e-07,True,7,0.0005524158477783203,2.3541552495684194e-07,False,1000,0.0,
generate_diagonal_dominant,16.0,0.0,0.645917384153126,1.10005314333202,1.401794631074453,1.0,35.191576185773336,33.1662115682078,0.625,1.0,3.9589321980222345,jacobi,0.7638792381789088,0.23612076182109126,0.0,False,True,11,0.0001633167266845703,2.716800039084112e-07,True,7,0.0005481243133544922,5.975248827018847e-07,False,1000,0.0,
generate_diagonal_dominant,16.0,0.0,0.0,1.4486578181105298,-5.992644218173229,0.0,10.845188786961257,4.479291574953461,0.4375,1.0,0.6772521685897008,nenhum,0.0,0.0,0.0,True,False,1000,0.011960268020629883,inf,False,1000,0.08706879615783691,,False,1000,0.0,
generate_diagonal_dominant,16.0,0.0,0.6777227550213061,2.449160204701035,1.532953478390333,1.0,38.139363414359956,1.4313276109182382,0.5,1.0,3.9960823585139846,jacobi,0.7662543472776927,0.2337456527223073,0.0,False,True,11,0.00016951560974121094,2.955100816332194e-07,True,7,0.0005764961242675781,4.0518524040632725e-07,False,1000,0.0,
generate_diagonal_dominant,16.0,0.0,0.6620881621001602,1.0445005523348816,1.5021141725543665,1.0,37.54270997082112,36.495433745515726,0.625,1.0,4.068722063563981,jacobi,0.7878566537983611,0.21214334620163888,0.0,False,True,11,0.00016427040100097656,9.539959620762345e-07,True,8,0.0006270408630371094,2.3048428763726873e-07,False,1000,0.0,
generate_diagonal_dominant,16.0,0.0,0.0,2.5167974805657574,-6.629343156862059,0.0,9.332490872259395,0.3167518926445754,0.4375,1.0,0.3361675611785458,nenhum,0.0,0.0,0.0,True,False,1000,0.012185096740722656,,False,1000,0.08982634544372559,,False,1000,0.0,
generate_diagonal_dominant,16.0,0.0,0.6920156748062214,0.8764279968845649,1.5416003448911026,1.0,38.608343582147505,62.601198841319956,0.3125,1.0,4.131387738623166,jacobi,0.7471929529355572,0.2528070470644428,0.0,False,True,11,0.00016927719116210938,6.63974520814861e-07,True,7,0.0005190372467041016,2.3541552495684194e-07,False,1000,0.0,
generate_diagonal_dominant,16.0,0.0,0.7378741668769924,0.773382250762731,3.8025726005570566,1.0,46.885055789828286,90.04400854107813,0.75,1.0,5.069501828397708,jacobi,0.7765150108342834,0.2234849891657167,0.0,False,True,9,0.00014352798461914062,4.3381180302137574e-07,True,6,0.0005128383636474609,4.1919773779784076e-07,False,1000,0.0,
generate_diagonal_dominant,16.0,0.0,0.7393989855234446,2.466568517758266,3.832383695975833,1.0,47.165775586521995,1.7891595136477942,0.5,1.0,4.99510294814248,jacobi,0.8160813381543353,0.18391866184566472,0.0,False,True,9,0.0001456737518310547,6.410838971050213e-07,True,6,0.0006647109985351562,7.626017874939334e-07,False,1000,0.0,
generate_diagonal_dominant,16.0,0.0,0.7155200764141922,1.525125351892048,3.8146880358618787,1.0,47.020985086357015,16.45821813771092,0.4375,1.0,5.11264034137074,jacobi,0.8991525056213624,0.10084749437863763,0.0,False,True,9,0.0001404285430908203,1.9795652861507068e-07,True,7,0.0012755393981933594,1.911721650841273e-07,False,1000,0.0,
generate_diagonal_dominant,16.0,0.0,0.7030083776827838,1.219702627839403,3.7349688269958072,1.0,46.13347459971723,27.865235082882734,0.5625,1.0,5.049729351025321,jacobi,0.7023651289738416,0.2976348710261584,0.0,False,True,9,0.00032401084899902344,3.767152362472514e-07,True,7,0.0007789134979248047,2.4504076318974114e-07,False,1000,0.0,
generate_diagonal_dominant,16.0,0.0,0.7369388822741261,1.1006672065809722,3.7010967801644705,1.0,45.90789821542912,44.89095516356401,0.625,1.0,5.0839861569038325,gauss_seidel,0.17748754094568783,0.8225124590543123,0.0,False,True,8,0.0029442310333251953,6.009321295048364e-07,True,6,0.0006473064422607422,7.813864307741854e-07,False,1000,0.0,
generate_diagonal_dominant,16.0,0.0,0.800022917039354,1.0069583468397316,7.888435726763464,1.0,64.83645424609766,107.69871729934516,0.6875,1.0,6.86208119189869,jacobi,0.7564832755693589,0.24351672443064118,0.0,False,True,8,0.00014519691467285156,2.2559212133221004e-07,True,5,0.0004639625549316406,8.409815205701833e-07,False,1000,0.0,
generate_diagonal_dominant,16.0,0.0,0.8017748725929649,0.8028432372059038,7.605145201114114,1.0,61.999124282017384,120.05867805477084,0.75,1.0,6.759335771196944,jacobi,0.719991289442266,0.2800087105577339,0.0,False,True,8,0.0002396106719970703,2.447420742495832e-07,True,6,0.0006277561187744141,6.780025010342115e-08,False,1000,0.0,
generate_diagonal_dominant,16.0,0.0,0.9093321504127834,1.4626715447913463,29.879750615966458,1.0,151.11481662880504,92.88411694294247,0.5625,1.0,16.832431170084405,jacobi,0.7964367636985089,0.20356323630149112,0.0,False,True,5,0.00010657310485839844,4.532686783786608e-07,True,5,0.0004169940948486328,1.6550840144615992e-08,False,1000,0.0,
generate_diagonal_dominant,16.0,0.0,0.794702596811361,0.8959459675164898,8.019004537425381,1.0,65.3330501052153,114.78263429253388,0.3125,1.0,6.900365196290134,jacobi,0.7856309384957764,0.21436906150422363,0.0,False,True,7,0.00013017654418945312,6.897959851092374e-07,True,6,0.00048160552978515625,1.1691522775873855e-07,False,1000,0.0,
generate_diagonal_dominant,16.0,0.0,0.7738183117842441,2.9425417755169025,7.403648710792302,1.0,60.567292775856885,0.8724815934251886,0.5,1.0,6.783657840221445,jacobi,0.7763754362367842,0.22362456376321588,0.0,False,True,8,0.00014638900756835938,3.7671488473565915e-07,True,6,0.0005178451538085938,2.599621062498442e-07,False,1000,0.0,
generate_diagonal_dominant,16.0,0.0,0.7842419382752014,1.9588803083012831,7.658395188668399,1.0,62.90697369212913,9.522747724862938,0.5,1.0,6.697094586243255,jacobi,0.6010337223145216,0.3989662776854784,0.0,False,True,8,0.0003209114074707031,3.376772274723651e-07,True,6,0.0004925727844238281,1.3950774920649594e-07,False,1000,0.0,
generate_diagonal_dominant,16.0,0.0,0.915977766496644,1.598334592677854,30.659919940101652,1.0,155.05550192771557,73.25136640361654,0.4375,1.0,17.175670522456326,jacobi,0.7630336629323521,0.2369663370676479,0.0,False,True,5,9.965896606445312e-05,4.5025916875756595e-07,True,4,0.00032401084899902344,3.908650014787725e-07,False,1000,0.0,
generate_diagonal_dominant,16.0,0.0,0.9141339697744039,1.484511428360212,28.85430128920084,1.0,145.79116261204922,92.53378708412268,0.4375,1.0,16.836671210158855,jacobi,0.7462762008328853,0.2537237991671147,0.0,False,True,5,0.00010251998901367188,7.480739831151959e-07,True,4,0.0003044605255126953,3.2405302798949475e-07,False,1000,0.0,
generate_diagonal_dominant,16.0,0.0,0.9087081626962,3.1743757092719638,29.614594843169208,1.0,150.05955554507364,2.1812039835629733,0.5,1.0,16.95914460055361,jacobi,0.7883865126067786,0.21161348739322144,0.0,False,True,6,0.00011587142944335938,6.401486080074177e-08,True,5,0.00043582916259765625,1.5704014668964203e-08,False,1000,0.0,
generate_diagonal_dominant,16.0,0.0,0.9209845273785011,1.5655974570279467,31.418309715429466,1.0,158.9980383996475,93.01111333897714,0.5625,1.0,17.067936187059676,jacobi,0.8591728398036413,0.1408271601963586,0.0,False,True,5,9.679794311523438e-05,6.429543321237538e-07,True,4,0.0005962848663330078,5.203155648755106e-07,False,1000,0.0,
generate_diagonal_dominant,16.0,0.0,0.9585869208712778,2.2916919707842673,64.71234522756762,1.0,290.8088030363522,61.46287167725805,0.5,1.0,33.176908129148224,jacobi,0.7828614897458914,0.21713851025410863,0.0,False,True,5,9.942054748535156e-05,3.0905177611488256e-08,True,4,0.0003619194030761719,1.0600698071155512e-07,False,1000,0.0,
generate_diagonal_dominant,16.0,0.0,0.9564839863280451,1.531088027810968,66.94684077214504,1.0,300.5378615872602,306.4031027654466,0.375,1.0,33.2646901485448,jacobi,0.788794087963919,0.21120591203608088,0.0,False,True,4,8.368492126464844e-05,4.853451453974046e-07,True,4,0.00031256675720214844,4.1880045107935866e-08,False,1000,0.0,
generate_diagonal_dominant,16.0,0.0,0.9570102773703043,1.7132582560279845,64.9221779007019,1.0,291.1977005132788,185.06757416824536,0.4375,1.0,33.67334242031771,jacobi,0.7800367537978492,0.21996324620215083,0.0,False,True,5,0.00010061264038085938,2.3617520070185907e-08,True,4,0.00036025047302246094,2.094376440244089e-08,False,1000,0.0,
generate_diagonal_dominant,16.0,0.0,0.9567339798316024,1.345963943591685,69.96491814698626,1.0,313.3679227440224,491.892842202761,0.3125,1.0,34.01041708835442,jacobi,0.7919714246680687,0.20802857533193128,0.0,False,True,4,8.416175842285156e-05,8.165737569070156e-07,True,4,0.0003204345703125,5.7190879431769424e-08,False,1000,0.0,
generate_diagonal_dominant,16.0,0.0,0.9572103889433353,1.3503691945454879,59.51749495411751,1.0,267.95789986040165,409.89163627485624,0.3125,1.0,33.33095216709772,jacobi,0.762610545926138,0.23738945407386208,0.0,False,True,4,9.751319885253906e-05,9.975014399897243e-07,True,4,0.0003132820129394531,4.5207674712576174e-08,False,1000,0.0,
generate_diagonal_dominant,16.0,0.0,0.9782346224128852,1.8000062141092072,141.33221940786174,1.0,600.8721714763025,612.8062055308932,0.375,1.0,66.5293802970896,jacobi,0.6978155545907428,0.3021844454092572,0.0,False,True,4,0.00010275840759277344,3.037808989382669e-08,True,3,0.0002396106719970703,2.9504557483553175e-07,False,1000,0.0,
generate_diagonal_dominant,16.0,0.0,0.9807737285933807,1.7706568679689965,137.83073434398312,1.0,585.795383820698,547.6788943314433,0.375,1.0,67.70406362570914,jacobi,0.8319128517967875,0.16808714820321247,0.0,False,True,4,0.0001049041748046875,3.8720422746502525e-08,True,3,0.0005242824554443359,4.001057492165417e-07,False,1000,0.0,
generate_diagonal_dominant,16.0,0.0,0.9809056228442891,2.065481519033445,141.10474587081256,1.0,599.191817613271,293.28092943406017,0.4375,1.0,66.51650888612662,jacobi,0.8151195218697456,0.18488047813025443,0.0,False,True,4,0.0001266002655029297,4.447281045368318e-08,True,3,0.0005636215209960938,6.326930971937279e-07,False,1000,0.0,
generate_diagonal_dominant,16.0,0.0,0.97859797553572,1.614715752863574,125.64804490313699,1.0,535.7350344928242,819.7832725497125,0.3125,1.0,66.66190433419544,jacobi,0.682842068329096,0.3171579316709039,0.0,False,True,4,0.0002014636993408203,6.259426807053593e-08,True,3,0.0004379749298095703,8.32482306084751e-07,False,1000,0.0,
generate_diagonal_dominant,16.0,0.0,0.9880311907738752,2.311291041244611,258.09092545335113,1.0,1075.9905136237458,634.1904404564962,0.5625,1.0,119.18481864459848,jacobi,0.7231183512285689,0.276881648771431,0.0,False,True,3,9.274482727050781e-05,6.714550859261771e-07,True,3,0.0002422332763671875,2.696887251859067e-07,False,1000,0.0,
generate_diagonal_dominant,16.0,0.0,0.9798943483338517,1.4487953638527324,141.38736835927,1.0,597.8861977192661,1143.7333140374208,0.25,1.0,66.46268777314654,jacobi,0.668876434191556,0.331123565808444,0.0,False,True,4,0.00013208389282226562,6.053125768645221e-08,True,3,0.0002694129943847656,1.6673800181236624e-07,False,1000,0.0,
