matrix_type,n,sparsity,symmetry,condition_number,diagonal_dominance,size,eig_spread,fro_norm,best_method,jacobi_success,jacobi_iterations,jacobi_time,jacobi_residual,gauss_seidel_success,gauss_seidel_iterations,gauss_seidel_time,gauss_seidel_residual,gradiente_conjugado_success,gradiente_conjugado_iterations,gradiente_conjugado_time,gradiente_conjugado_residual
generate_diagonal_dominant,19,0.0,0.8816648267845184,0.34226248869278975,18.825240593738272,19,20.417981211915514,125.31871970983424,jacobi,True,8,0.000263214111328125,2.2098726399231373e-07,True,6,0.046950578689575195,1.4222874982408726e-07,False,1000,0.0,inf
generate_diagonal_dominant,44,0.0,0.918111641006011,0.2412047295177669,42.91715540913027,44,33.641245613950474,429.78433625812386,jacobi,True,6,0.00022339820861816406,9.91955848333704e-07,True,5,0.12423872947692871,7.827840795927497e-07,False,1000,0.0,inf
generate_diagonal_dominant,49,0.0,0.9214656382239564,0.1716149100743675,48.36809666196903,49,26.883633382865256,510.5764848840024,jacobi,True,7,0.0004203319549560547,6.895100254855189e-08,True,5,0.12699651718139648,6.675927316217287e-07,False,1000,0.0,inf
generate_diagonal_dominant,34,0.0,0.9066155240062057,0.19509588810200132,33.46969842895316,34,19.37592570750941,294.75522072847497,jacobi,True,7,0.0007390975952148438,2.1391983408637807e-07,True,6,0.10612750053405762,3.777966538010554e-08,False,1000,0.0,inf
generate_diagonal_dominant,26,0.0,0.8887843302022149,0.19953903493597502,24.954570144380792,26,15.6394061050316,192.3843527540567,jacobi,True,7,0.0009484291076660156,3.8766708923337595e-07,True,6,0.10561633110046387,6.006342242179972e-08,False,1000,0.0,inf
generate_symmetric_positive_definite,15,0.0,0.9999999999999999,1.698970004336019,-15.348796444111278,15,49.00000000000022,114.8205121047629,gradiente_conjugado,False,1000,0.039482831954956055,0.0007599502314013898,True,172,1.112842082977295,9.22446429943241e-07,True,15,0.0028982162475585938,1.6866344304232321e-15
generate_symmetric_positive_definite,19,0.0,0.9999999999999999,1.6989700043360185,-24.002292976590528,19,49.00000000000008,128.7584229535353,gradiente_conjugado,True,383,0.011987686157226562,9.875359474827877e-07,True,193,1.610020637512207,9.764878900659078e-07,True,19,0.003756284713745117,1.2516353445684537e-14
generate_symmetric_positive_definite,31,0.0,0.9999999999999999,1.6989700043360199,-36.75703263946189,31,48.999999999999886,163.62713371836864,gradiente_conjugado,True,357,0.01371145248413086,9.620788100486418e-07,True,181,2.5939347743988037,9.464588260497217e-07,True,28,0.004423618316650391,4.6152912012036223e-07
generate_symmetric_positive_definite,18,0.0,0.9999999999999999,1.6989700043360187,-22.626843075373994,18,48.99999999999994,125.41812421796516,gradiente_conjugado,True,513,0.011852264404296875,9.976301161450112e-07,True,186,1.494335412979126,9.378237742108539e-07,True,18,0.003605365753173828,1.0390222931806431e-14
generate_sparse_matrix,17,0.46020761245674735,0.7284789306987864,0.5036052189777038,21.863602874851814,17,40.79265440488062,184.68633461676546,jacobi,True,11,0.0003223419189453125,6.501998497566704e-07,True,7,0.04931640625,9.940222304268302e-07,False,1000,0.24931573867797852,0.047845305376449584
generate_sparse_matrix,35,0.5118367346938775,0.810298894219943,0.41469462202289287,42.85224167568768,35,75.44337631146114,515.1630927145893,jacobi,True,9,0.0004055500030517578,6.785704022964463e-07,True,8,0.13738560676574707,7.625116195267733e-08,False,1000,0.26406097412109375,1.3587660737192546e-05
generate_sparse_matrix,27,0.47736625514403297,0.7859136545208604,0.5810386082763676,34.98366801000635,27,78.0381966833832,371.85970811139805,jacobi,True,9,0.0007016658782958984,8.903856915007549e-07,True,7,0.09393453598022461,1.0084750209164933e-07,False,1000,0.19825959205627441,0.002170871714057552
generate_sparse_matrix,33,0.4986225895316805,0.7959611656071701,0.5615204186282537,40.50009314864356,33,85.29290111976852,474.82997872898085,jacobi,True,10,0.00048828125,1.9775774680574533e-07,True,7,0.13203859329223633,6.549878103345997e-07,False,1000,0.2130756378173828,0.034736912644162114
generate_sparse_matrix,30,0.49777777777777776,0.7907661159840877,0.4339243660242564,35.930702720324675,30,66.97575473782058,402.4055181096799,jacobi,True,10,0.0003619194030761719,3.1124434626020547e-07,True,7,0.11081886291503906,2.2008391338610626e-07,False,1000,0.1935739517211914,0.037296522141313584
generate_random_matrix,11,0.0,-0.31224925033190254,1.5429056123529994,-22.478187319882096,11,7.971206287574875,31.71664731457271,jacobi,False,1000,0.08175921440124512,,False,1000,4.946680068969727,,False,1000,0.0,inf
generate_symmetric_positive_definite,37,0.0,0.9999999999999999,1.6989700043360163,-42.386011211041264,37,48.99999999999988,178.5318339701375,gradiente_conjugado,True,339,0.009359359741210938,9.997818455837694e-07,True,175,3.297285318374634,9.391617487861746e-07,True,31,0.007838726043701172,4.0448354930367184e-07
