matrix_type,n,sparsity,symmetry,condition_number,diagonal_dominance,size,eig_spread,fro_norm,best_method,jacobi_success,jacobi_iterations,jacobi_time,jacobi_residual,gauss_seidel_success,gauss_seidel_iterations,gauss_seidel_time,gauss_seidel_residual,gradiente_conjugado_success,gradiente_conjugado_iterations,gradiente_conjugado_time,gradiente_conjugado_residual
generate_diagonal_dominant,14,0.0,0.8673883112809151,0.3206867144857638,13.529843528651659,14,14.997744336046518,77.64965858987465,jacobi,True,8,0.0017359256744384766,2.3483859786615262e-07,True,6,0.04652595520019531,1.7769953345322047e-07,False,500,0.0,inf
generate_diagonal_dominant,13,0.0,0.8256940016257674,0.27964575391445395,11.442540744538015,13,9.405260949392298,63.1896392666237,jacobi,True,8,0.00029540061950683594,3.950658998171307e-07,True,6,0.027916431427001953,2.671603371916256e-07,False,500,0.0,inf
generate_diagonal_dominant,22,0.0,0.8787482704042271,0.2286511625769309,20.328391484531714,22,14.975218518253868,144.6529809280974,jacobi,True,7,0.0002677440643310547,6.542666344637539e-07,True,6,0.07148385047912598,1.0584007209696378e-07,False,500,0.0,inf
generate_diagonal_dominant,26,0.0,0.893030131175305,0.18148172330326287,26.043628728341893,26,14.817521868195975,200.6785928769329,jacobi,True,7,0.00023555755615234375,5.372170931872718e-07,True,6,0.0924522876739502,4.350363951347003e-08,False,500,0.0,inf
generate_diagonal_dominant,46,0.0,0.917253471451715,0.19269280152475685,44.14560587496656,46,27.437612875040372,451.6153332103166,jacobi,True,7,0.0005972385406494141,8.019288612145066e-08,True,5,0.12118673324584961,9.436005085933959e-07,False,500,0.0,inf
generate_diagonal_dominant,35,0.0,0.9095585148132163,0.1958444756717888,34.334856552921096,35,20.176680077930392,306.8781762747571,jacobi,True,7,0.00023508071899414062,2.1158887782875504e-07,True,6,0.11740946769714355,3.7226945388850114e-08,False,500,0.0,inf
generate_diagonal_dominant,14,0.0,0.8493001968531979,0.22470029722663992,13.82698573313671,14,9.41998413573053,78.85388457076003,jacobi,True,8,0.0005359649658203125,2.0508857134131468e-07,True,6,0.04550051689147949,6.565031649156599e-08,False,500,0.0,inf
generate_diagonal_dominant,39,0.0,0.9127632878997539,0.19704272390569685,38.05135070328284,39,23.88605531106647,358.8061743498179,jacobi,True,7,0.00023937225341796875,1.925463082417666e-07,True,6,0.13135838508605957,2.5288206808330828e-08,False,500,0.0,inf
generate_diagonal_dominant,38,0.0,0.9117685597483737,0.1918250195273554,36.59474038192576,38,22.1663147906812,340.4322207996117,jacobi,True,7,0.0002455711364746094,1.1751682898484145e-07,True,6,0.13770151138305664,6.082182722530576e-08,False,500,0.0,inf
generate_diagonal_dominant,24,0.0,0.8877262511623386,0.22436901921957164,23.680511676274932,24,15.544970908724174,175.52939363129582,jacobi,True,7,0.00023674964904785156,6.015746300739133e-07,True,6,0.06452775001525879,3.4202549779537144e-08,False,500,0.0,inf
generate_diagonal_dominant,41,0.0,0.9157048041113305,0.18658563373521522,40.2065398813246,41,22.969484983137797,388.69024541869294,jacobi,True,6,0.0002593994140625,9.272751771929927e-07,True,6,0.16070151329040527,1.8700947747858134e-08,False,500,0.0,inf
generate_diagonal_dominant,17,0.0,0.8579898808736471,0.219620540935669,15.783958832859643,17,10.12103705636532,98.64869131646383,jacobi,True,8,0.00045561790466308594,2.1088389549931379e-07,True,6,0.05080294609069824,2.343677476002108e-07,False,500,0.0,inf
generate_diagonal_dominant,35,0.0,0.9055538750074924,0.17714289619115592,35.023313260137755,35,19.38733740013877,312.68545081191473,jacobi,True,7,0.00022649765014648438,1.5954226921643742e-07,True,6,0.10285711288452148,3.2565440609206056e-08,False,500,0.0,inf
generate_diagonal_dominant,20,0.0,0.8715828046198342,0.18731282628673204,18.58942018880581,20,10.133286526179699,125.90032111577473,jacobi,True,7,0.0002815723419189453,7.478851196044714e-07,True,6,0.07004451751708984,1.7070724487286711e-07,False,500,0.0,inf
generate_diagonal_dominant,34,0.0,0.9042352024344218,0.17122806807747784,33.90693069639151,34,18.783300945883816,298.4055340056656,jacobi,True,7,0.0013875961303710938,1.1539127333652356e-07,True,6,0.10205483436584473,9.153084020661593e-08,False,500,0.0,inf
generate_diagonal_dominant,27,0.0,0.9006222204536327,0.1889348433514636,25.815369128778542,27,14.562848817991899,202.99813392583317,jacobi,True,7,0.0002918243408203125,3.757372147968406e-07,True,5,0.06224393844604492,9.651296783595229e-07,False,500,0.0,inf
